variant,status,max_initial_render_ms,max_send_click_proxy_ms,max_scroll_jump_return_ms,max_typing_proxy_ms,max_long_task_like_count_50ms_proxy,max_dom_node_count,max_logical_block_count,max_rendered_dom_node_count,active_context_scan_mode,dynamic_active_context_update_mode,max_send_active_context_entries_visited
B2,strong_virtualized_dom_baseline_original,3.700000047683716,161.79999995231628,13.300000190734863,0.40000009536743164,2,5700,54096,5700,not_recorded_in_result,not_recorded_in_result,
R0,worker_bounded_projection_original_full_string_scan,63,144.5,34.40000009536743,0.5,3,5700,54096,5700,full_string_scan,static_initial_active_context,100000
B2c,strong_compact_virtualized_dom_baseline,2.799999952316284,20.799999952316284,12.700000047683716,0.10000014305114746,0,5700,54096,5700,compact_checksum_index,static_initial_active_context,100000
R0c,send_path_specific_advantage_with_non_send_overheads,78.20000004768372,15.099999904632568,48.700000047683716,1.3999998569488525,1,5700,54096,5700,compact_checksum_index,static_initial_active_context,100000
