variant,max_dynamic_context_send_proxy_ms,max_dynamic_active_context_update_ms,max_dynamic_active_context_rebuild_ms,max_send_active_context_entries_visited,max_active_context_update_count,max_active_context_generation_count,max_logical_block_count,max_expected_final_logical_block_count,max_rendered_dom_node_count,max_send_worker_dynamic_active_context_update_ms
B2q,57.299999952316284,28.5,28.5,100000,3,4,54096,54096,5700,
R0q,54,30.800000190734863,30.800000190734863,100000,3,4,54096,54096,5700,30.800000190734863
